simulation_dir,Pe,alpha_in,alpha_out,kappa,pol,blocks_original,blocks_valid,blocks_eliminated,blocks_recovered,recovered_block_numbers,blocks_excluded_final,blocks_lost_pct,frames_original,frames_written,frames_lost,frames_lost_pct,last_timestep,valid_timestep,n_corrupted,n_recovered_excluded,n_incomplete,eliminated_block_numbers,timestamp
Pe_10.0_alpha_in_0.1_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.1,0.1,1.0,1,522,518,4,0,,0,0.77,10980,10878,102,0.93,547356672,546308096,4,0,0,"35,337,408,521",2026-02-09 21:59:29.293859
Pe_10.0_alpha_in_0.1_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.1,0.2,1.0,1,539,537,0,0,,1,0.0,11296,11277,19,0.17,564133888,563085312,0,0,0,,2026-02-09 21:59:28.157571
Pe_10.0_alpha_in_0.1_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.1,0.3,1.0,1,522,517,3,32,"465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496",1,0.57,12255,10857,1398,11.41,546308096,545259520,3,0,0,"463,464,497",2026-02-09 21:59:26.867109
Pe_10.0_alpha_in_0.1_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.1,0.4,1.0,1,530,496,32,0,,1,6.04,12030,10416,1614,13.42,554696704,553648128,32,0,0,"136,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500",2026-02-09 21:59:25.831767
Pe_10.0_alpha_in_0.1_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.1,0.5,1.0,1,530,497,31,0,,1,5.85,12033,10437,1596,13.26,554696704,553648128,31,0,0,"246,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498",2026-02-09 21:59:25.466411
Pe_10.0_alpha_in_0.1_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.1,0.6,1.0,1,490,457,31,0,,1,6.33,11164,9597,1567,14.04,512753664,511705088,31,0,0,"206,207,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459",2026-02-09 21:59:23.732862
Pe_10.0_alpha_in_0.1_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.1,0.7,1.0,1,489,457,30,0,,1,6.13,11156,9597,1559,13.97,511705088,510656512,30,0,0,"135,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457",2026-02-09 21:59:21.860515
Pe_10.0_alpha_in_0.1_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.1,0.8,1.0,1,406,402,2,1,204,1,0.49,8546,8442,104,1.22,424673280,423624704,2,0,0,"203,205",2026-02-09 21:59:17.279894
Pe_10.0_alpha_in_0.1_alpha_out_0.9_kappa_1.0_pol_1,10.0,0.1,0.9,1.0,1,411,406,3,0,,1,0.73,8631,8526,105,1.22,429916160,428867584,3,0,0,"136,205,206",2026-02-09 21:59:16.824286
Pe_10.0_alpha_in_0.1_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.1,1.0,1.0,1,465,432,31,0,,1,6.67,10657,9072,1585,14.87,486539264,485490688,31,0,0,"114,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434",2026-02-09 21:59:22.806124
Pe_10.0_alpha_in_0.2_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.2,0.1,1.0,1,477,442,33,0,,1,6.92,10934,9282,1652,15.11,499122176,498073600,33,0,0,"86,113,174,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446",2026-02-09 21:59:28.151872
Pe_10.0_alpha_in_0.2_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.2,0.2,1.0,1,429,425,2,135,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390",1,0.47,12568,8925,3643,28.99,448790528,447741952,2,0,0,"92,391",2026-02-09 21:59:27.535430
Pe_10.0_alpha_in_0.2_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.2,0.3,1.0,1,420,415,3,141,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396",1,0.71,12529,8715,3814,30.44,439353344,438304768,3,0,0,"145,146,397",2026-02-09 21:59:25.569027
Pe_10.0_alpha_in_0.2_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.2,0.4,1.0,1,402,398,2,0,,1,0.5,8429,8358,71,0.84,420478976,419430400,2,0,0,"143,144",2026-02-16 13:55:47.053541
Pe_10.0_alpha_in_0.2_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.2,0.5,1.0,1,417,413,2,107,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362",1,0.48,11694,8673,3021,25.83,436207616,435159040,2,0,0,"94,363",2026-02-09 21:59:25.577942
Pe_10.0_alpha_in_0.2_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.2,0.6,1.0,1,414,411,1,57,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312",1,0.24,10600,8631,1969,18.58,433061888,432013312,1,0,0,313,2026-02-09 21:59:25.834337
Pe_10.0_alpha_in_0.2_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.2,0.7,1.0,1,402,398,2,0,,1,0.5,8425,8358,67,0.8,420478976,419430400,2,0,0,"92,93",2026-02-16 13:55:48.085801
Pe_10.0_alpha_in_0.2_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.2,0.8,1.0,1,450,424,24,0,,1,5.33,10148,8904,1244,12.26,470810624,469762048,24,0,0,"178,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423",2026-02-09 21:59:25.457368
